DS,Size,Op,OpCount,Time(s)
Skiplist,1000000,Successor,65536,1.5130035877227783
SortedContainer,1000000,Successor,131072,1.0349996089935303
Blist,10000000,Successor,131072,1.2970318794250488
RBSTree,10000000,Successor,131072,1.1860127449035645
SCArray,10000000,Successor,131072,1.261997938156128
SCAutoBalance,10000000,Successor,131072,1.3840007781982422
SCPyBisect,10000000,Successor,131072,1.6470036506652832
Skiplist,10000000,Successor,65536,1.8979969024658203
SortedContainer,10000000,Successor,131072,1.2990012168884277
Blist,10000,Predecessor,262144,1.1360013484954834
RBSTree,10000,Predecessor,524288,1.5969994068145752
SCArray,10000,Predecessor,524288,1.4590318202972412
SCAutoBalance,10000,Predecessor,524288,1.899031400680542
SCPyBisect,10000,Predecessor,262144,1.0430023670196533
Skiplist,10000,Predecessor,131072,1.189000129699707
SortedContainer,10000,Predecessor,524288,1.4520323276519775
Blist,100000,Predecessor,262144,1.4540011882781982
RBSTree,100000,Predecessor,262144,1.2980022430419922
SCArray,100000,Predecessor,262144,1.0799930095672607
SCAutoBalance,100000,Predecessor,262144,1.2189991474151611
SCPyBisect,100000,Predecessor,262144,1.4740047454833984
Skiplist,100000,Predecessor,131072,1.63100266456604
SortedContainer,100000,Predecessor,262144,1.0509984493255615
Blist,1000000,Predecessor,262144,1.927001714706421
RBSTree,1000000,Predecessor,262144,1.9150018692016602
SCArray,1000000,Predecessor,262144,1.4610013961791992
SCAutoBalance,1000000,Predecessor,262144,1.676009178161621
SCPyBisect,1000000,Predecessor,131072,1.0209693908691406
Skiplist,1000000,Predecessor,65536,1.0299997329711914
SortedContainer,1000000,Predecessor,262144,1.4960002899169922
Blist,10000000,Predecessor,131072,1.2657444477081299
RBSTree,10000000,Predecessor,131072,1.2099688053131104
SCArray,10000000,Predecessor,262144,1.866999626159668
SCAutoBalance,10000000,Predecessor,131072,1.0340006351470947
SCPyBisect,10000000,Predecessor,131072,1.3199994564056396
Skiplist,10000000,Predecessor,65536,1.3890080451965332
SortedContainer,10000000,Predecessor,262144,1.928999900817871
