DS,Size,Op,OpCount,Cache,Misses
SortedList,1000000,Delete,10000,DLmw,11783
SortedList,10000000,Delete,10000,Ir,578230090
SortedList,10000000,Delete,10000,I1mr,599832
SortedList,10000000,Delete,10000,ILmr,1363
SortedList,10000000,Delete,10000,Dr,180108986
SortedList,10000000,Delete,10000,D1mr,-596626
SortedList,10000000,Delete,10000,DLmr,-1927342
SortedList,10000000,Delete,10000,Dw,86050720
SortedList,10000000,Delete,10000,D1mw,258493
SortedList,10000000,Delete,10000,DLmw,23737
SortedArray,10000,Delete,10000,Ir,296621987
SortedArray,10000,Delete,10000,I1mr,818290
SortedArray,10000,Delete,10000,ILmr,732
SortedArray,10000,Delete,10000,Dr,87214210
SortedArray,10000,Delete,10000,D1mr,398680
SortedArray,10000,Delete,10000,DLmr,6257
SortedArray,10000,Delete,10000,Dw,37856637
SortedArray,10000,Delete,10000,D1mw,47801
SortedArray,10000,Delete,10000,DLmw,7048
SortedArray,100000,Delete,10000,Ir,388085513
SortedArray,100000,Delete,10000,I1mr,870742
SortedArray,100000,Delete,10000,ILmr,840
SortedArray,100000,Delete,10000,Dr,117706332
SortedArray,100000,Delete,10000,D1mr,425545
SortedArray,100000,Delete,10000,DLmr,14404
SortedArray,100000,Delete,10000,Dw,52347221
SortedArray,100000,Delete,10000,D1mw,46285
SortedArray,100000,Delete,10000,DLmw,11361
SortedArray,1000000,Delete,10000,Ir,468241846
SortedArray,1000000,Delete,10000,I1mr,828920
SortedArray,1000000,Delete,10000,ILmr,1363
SortedArray,1000000,Delete,10000,Dr,142773332
SortedArray,1000000,Delete,10000,D1mr,941794
SortedArray,1000000,Delete,10000,DLmr,157279
SortedArray,1000000,Delete,10000,Dw,63002363
SortedArray,1000000,Delete,10000,D1mw,75837
SortedArray,1000000,Delete,10000,DLmw,11609
SortedArray,10000000,Delete,10000,Ir,588159377
SortedArray,10000000,Delete,10000,I1mr,829513
SortedArray,10000000,Delete,10000,ILmr,1389
SortedArray,10000000,Delete,10000,Dr,181944942
SortedArray,10000000,Delete,10000,D1mr,-707467
SortedArray,10000000,Delete,10000,DLmr,-1909568
SortedArray,10000000,Delete,10000,Dw,86612224
SortedArray,10000000,Delete,10000,D1mw,279398
SortedArray,10000000,Delete,10000,DLmw,23842
Blist,10000,Delete,10000,Ir,-29116349
Blist,10000,Delete,10000,I1mr,71156
Blist,10000,Delete,10000,ILmr,557
Blist,10000,Delete,10000,Dr,651767
Blist,10000,Delete,10000,D1mr,-57260
Blist,10000,Delete,10000,DLmr,6362
Blist,10000,Delete,10000,Dw,5408039
Blist,10000,Delete,10000,D1mw,-996
Blist,10000,Delete,10000,DLmw,6989
Blist,100000,Delete,10000,Ir,409820870
Blist,100000,Delete,10000,I1mr,133125
Blist,100000,Delete,10000,ILmr,658
Blist,100000,Delete,10000,Dr,74194285
Blist,100000,Delete,10000,D1mr,783768
Blist,100000,Delete,10000,DLmr,15026
Blist,100000,Delete,10000,Dw,6752955
Blist,100000,Delete,10000,D1mw,217811
Blist,100000,Delete,10000,DLmw,10938
Blist,1000000,Delete,10000,Ir,5179123296
Blist,1000000,Delete,10000,I1mr,135998
Blist,1000000,Delete,10000,ILmr,914
Blist,1000000,Delete,10000,Dr,832949184
Blist,1000000,Delete,10000,D1mr,11366342
Blist,1000000,Delete,10000,DLmr,498545
Blist,1000000,Delete,10000,Dw,8369186
Blist,1000000,Delete,10000,D1mw,1460184
Blist,1000000,Delete,10000,DLmw,12729
Blist,10000000,Delete,10000,Ir,68301667422
Blist,10000000,Delete,10000,I1mr,286725
Blist,10000000,Delete,10000,ILmr,367
Blist,10000000,Delete,10000,Dr,11048701062
Blist,10000000,Delete,10000,D1mr,661685393
Blist,10000000,Delete,10000,DLmr,-473384
Blist,10000000,Delete,10000,Dw,23092593
Blist,10000000,Delete,10000,D1mw,24966020
Blist,10000000,Delete,10000,DLmw,39457
AutoLoad,10000,Add,10000,Ir,245624808
AutoLoad,10000,Add,10000,I1mr,825045
AutoLoad,10000,Add,10000,ILmr,16
AutoLoad,10000,Add,10000,Dr,69801805
AutoLoad,10000,Add,10000,D1mr,579172
AutoLoad,10000,Add,10000,DLmr,0
AutoLoad,10000,Add,10000,Dw,31627580
AutoLoad,10000,Add,10000,D1mw,75805
AutoLoad,10000,Add,10000,DLmw,5094
AutoLoad,10000,Select,10000,Ir,243270861
AutoLoad,10000,Select,10000,I1mr,380663
AutoLoad,10000,Select,10000,ILmr,41
AutoLoad,10000,Select,10000,Dr,70774990
AutoLoad,10000,Select,10000,D1mr,226202
AutoLoad,10000,Select,10000,DLmr,-81
AutoLoad,10000,Select,10000,Dw,28894406
AutoLoad,10000,Select,10000,D1mw,-422
AutoLoad,10000,Select,10000,DLmw,144
AutoLoad,10000,Delete,10000,Ir,356599492
AutoLoad,10000,Delete,10000,I1mr,580477
AutoLoad,10000,Delete,10000,ILmr,48
AutoLoad,10000,Delete,10000,Dr,105196330
AutoLoad,10000,Delete,10000,D1mr,474447
AutoLoad,10000,Delete,10000,DLmr,-65
AutoLoad,10000,Delete,10000,Dw,43988764
AutoLoad,10000,Delete,10000,D1mw,45349
AutoLoad,10000,Delete,10000,DLmw,226
AutoLoad,100000,Add,10000,Ir,251611927
AutoLoad,100000,Add,10000,I1mr,807499
AutoLoad,100000,Add,10000,ILmr,80
AutoLoad,100000,Add,10000,Dr,71379621
AutoLoad,100000,Add,10000,D1mr,587140
AutoLoad,100000,Add,10000,DLmr,4631
AutoLoad,100000,Add,10000,Dw,32301745
AutoLoad,100000,Add,10000,D1mw,74053
AutoLoad,100000,Add,10000,DLmw,6510
AutoLoad,100000,Select,10000,Ir,281758514
AutoLoad,100000,Select,10000,I1mr,483439
AutoLoad,100000,Select,10000,ILmr,58
AutoLoad,100000,Select,10000,Dr,82027397
AutoLoad,100000,Select,10000,D1mr,402831
AutoLoad,100000,Select,10000,DLmr,469
AutoLoad,100000,Select,10000,Dw,33310564
AutoLoad,100000,Select,10000,D1mw,9032
AutoLoad,100000,Select,10000,DLmw,604
AutoLoad,100000,Delete,10000,Ir,486372486
AutoLoad,100000,Delete,10000,I1mr,612095
AutoLoad,100000,Delete,10000,ILmr,70
AutoLoad,100000,Delete,10000,Dr,143441707
AutoLoad,100000,Delete,10000,D1mr,766725
AutoLoad,100000,Delete,10000,DLmr,557
AutoLoad,100000,Delete,10000,Dw,59563607
AutoLoad,100000,Delete,10000,D1mw,106227
AutoLoad,100000,Delete,10000,DLmw,776
AutoLoad,1000000,Add,10000,Ir,255147031
AutoLoad,1000000,Add,10000,I1mr,808879
AutoLoad,1000000,Add,10000,ILmr,172
AutoLoad,1000000,Add,10000,Dr,72500094
AutoLoad,1000000,Add,10000,D1mr,639645
AutoLoad,1000000,Add,10000,DLmr,17421
AutoLoad,1000000,Add,10000,Dw,32780013
AutoLoad,1000000,Add,10000,D1mw,77907
AutoLoad,1000000,Add,10000,DLmw,6340
AutoLoad,1000000,Select,10000,Ir,339489399
AutoLoad,1000000,Select,10000,I1mr,445090
AutoLoad,1000000,Select,10000,ILmr,463
AutoLoad,1000000,Select,10000,Dr,98461396
AutoLoad,1000000,Select,10000,D1mr,536064
AutoLoad,1000000,Select,10000,DLmr,17347
