DS,Size,Op,OpCount,Cache,Misses
SortedList,100000,Add,100000,DLmr,357988
SortedList,100000,Add,100000,Dw,172856966
SortedList,100000,Add,100000,D1mw,3406913
SortedList,100000,Add,100000,DLmw,512260
SortedArray,100000,Add,100000,Ir,779340386
SortedArray,100000,Add,100000,I1mr,11245211
SortedArray,100000,Add,100000,ILmr,49765
SortedArray,100000,Add,100000,Dr,251716294
SortedArray,100000,Add,100000,D1mr,6024646
SortedArray,100000,Add,100000,DLmr,357837
SortedArray,100000,Add,100000,Dw,172802832
SortedArray,100000,Add,100000,D1mw,3398239
SortedArray,100000,Add,100000,DLmw,510951
AutoLoad,100000,Add,100000,Ir,695947872
AutoLoad,100000,Add,100000,I1mr,11750856
AutoLoad,100000,Add,100000,ILmr,50373
AutoLoad,100000,Add,100000,Dr,219560507
AutoLoad,100000,Add,100000,D1mr,5929857
AutoLoad,100000,Add,100000,DLmr,358553
AutoLoad,100000,Add,100000,Dw,136927775
AutoLoad,100000,Add,100000,D1mw,3367492
AutoLoad,100000,Add,100000,DLmw,507491
RBSTree,100000,Add,100000,Ir,2862028076
RBSTree,100000,Add,100000,I1mr,20007448
RBSTree,100000,Add,100000,ILmr,65023
RBSTree,100000,Add,100000,Dr,1004911305
RBSTree,100000,Add,100000,D1mr,28433477
RBSTree,100000,Add,100000,DLmr,364531
RBSTree,100000,Add,100000,Dw,603717074
RBSTree,100000,Add,100000,D1mw,36732746
RBSTree,100000,Add,100000,DLmw,981246
SkipList,100000,Add,100000,Ir,2246001652
SkipList,100000,Add,100000,I1mr,22326357
SkipList,100000,Add,100000,ILmr,66587
SkipList,100000,Add,100000,Dr,728904300
SkipList,100000,Add,100000,D1mr,11716660
SkipList,100000,Add,100000,DLmr,369540
SkipList,100000,Add,100000,Dw,385168718
SkipList,100000,Add,100000,D1mw,12451840
SkipList,100000,Add,100000,DLmw,959161
BadBisect,1000000,Base,1000000,Ir,534404062
BadBisect,1000000,Base,1000000,I1mr,10185336
BadBisect,1000000,Base,1000000,ILmr,49140
BadBisect,1000000,Base,1000000,Dr,172932769
BadBisect,1000000,Base,1000000,D1mr,5553245
BadBisect,1000000,Base,1000000,DLmr,509842
BadBisect,1000000,Base,1000000,Dw,107894545
BadBisect,1000000,Base,1000000,D1mw,2008883
BadBisect,1000000,Base,1000000,DLmw,836052
SortedList,1000000,Base,1000000,Ir,534273524
SortedList,1000000,Base,1000000,I1mr,10169926
SortedList,1000000,Base,1000000,ILmr,49121
SortedList,1000000,Base,1000000,Dr,172937521
SortedList,1000000,Base,1000000,D1mr,5550672
SortedList,1000000,Base,1000000,DLmr,510333
SortedList,1000000,Base,1000000,Dw,107914510
SortedList,1000000,Base,1000000,D1mw,2011340
SortedList,1000000,Base,1000000,DLmw,835808
SortedArray,1000000,Base,1000000,Ir,534236089
SortedArray,1000000,Base,1000000,I1mr,10158907
SortedArray,1000000,Base,1000000,ILmr,49244
SortedArray,1000000,Base,1000000,Dr,172868610
SortedArray,1000000,Base,1000000,D1mr,5533589
SortedArray,1000000,Base,1000000,DLmr,510045
